"ad" "week" "day" "show" "screen" "tickets" "calls"
"dh" 1 4 4 5 42 1
"dh" 1 3 1 9 66 1
"dh" 3 7 3 3 31 0
"dh" 2 1 1 3 17 0
"dh" 3 1 2 6 43 0
"dh" 2 7 3 6 63 0
"dh" 3 7 1 1 28 0
"dh" 4 7 2 5 63 0
"dh" 4 7 2 6 54 0
"dh" 2 4 5 4 26 0
"dh" 4 7 5 5 59 0
"dh" 1 1 4 5 34 0
"dh" 1 3 1 4 24 0
"dh" 2 2 5 2 15 0
"dh" 1 4 5 8 37 0
"dh" 1 1 4 9 37 1
"dh" 3 7 1 10 53 1
"dh" 4 1 5 2 20 0
"dh" 1 1 5 2 17 0
"dh" 3 2 2 10 43 0
"dh" 4 1 1 4 17 0
"dh" 2 3 4 9 57 0
"dh" 4 1 4 5 37 0
"dh" 4 3 2 5 68 0
"dh" 2 6 2 5 49 1
"dh" 1 1 4 6 43 0
"dh" 2 3 1 5 75 1
"dh" 3 5 4 10 40 1
"dh" 1 5 2 3 13 0
"dh" 3 5 5 2 26 0
"dh" 4 3 4 8 47 1
"dh" 4 3 4 7 73 0
"dh" 2 3 2 1 26 0
"dh" 2 4 5 3 17 0
"dh" 3 4 2 6 39 0
"dh" 3 5 1 7 42 0
"dh" 3 5 5 9 40 0
"dh" 3 5 5 10 50 0
"dh" 2 4 5 7 34 0
"dh" 2 7 2 10 62 0
"dh" 2 3 2 7 53 0
"dh" 2 1 5 1 23 0
"dh" 4 4 1 1 23 0
"dh" 1 5 3 10 41 0
"dh" 4 3 5 10 66 0
"dh" 2 5 5 6 29 0
"dh" 3 2 5 7 44 0
"dh" 1 4 5 2 20 0
"dh" 4 3 2 4 32 0
"dh" 2 1 1 5 36 2
"dh" 1 3 2 4 38 0
"dh" 3 6 2 4 30 0
"dh" 1 3 2 6 74 0
"dh" 2 3 3 10 59 0
"dh" 3 6 2 7 59 0
"dh" 3 5 3 9 42 0
"dh" 4 5 5 3 19 0
"dh" 4 7 3 6 74 0
"dh" 2 6 5 5 57 1
"dh" 1 2 4 1 12 0
"dh" 1 3 3 3 24 0
"dh" 3 1 4 1 26 0
"dh" 1 1 1 6 45 0
"dh" 1 7 4 1 41 0
"dh" 2 7 5 4 29 0
"dh" 3 1 4 9 30 0
"dh" 2 3 5 3 35 0
"dh" 1 7 4 2 26 0
"dh" 1 2 1 1 19 0
"dh" 2 6 2 8 60 0
"dh" 3 2 3 10 31 0
"dh" 2 3 5 10 61 0
"dh" 1 1 2 7 34 0
"dh" 3 1 5 4 23 0
"dh" 1 6 5 10 56 0
"dh" 2 5 4 3 15 0
"dh" 1 6 2 1 25 0
"dh" 4 7 1 3 25 0
"dh" 3 4 2 10 37 0
"dh" 1 7 5 6 54 1
"dh" 2 6 3 9 73 0
"dh" 2 5 4 10 25 0
"dh" 2 3 3 2 36 1
"dh" 2 7 3 4 35 0
"dh" 2 5 1 2 19 0
"dh" 2 5 5 4 20 0
"dh" 3 1 2 7 40 0
"dh" 1 3 1 10 82 0
"dh" 2 4 2 5 43 0
"dh" 3 7 5 2 26 0
"dh" 4 3 2 3 28 0
"dh" 4 2 3 5 37 0
"dh" 4 4 5 8 32 0
"dh" 1 4 1 7 33 0
"dh" 3 2 2 5 43 0
"dh" 1 6 3 10 65 0
"dh" 1 6 4 1 30 0
"dh" 2 1 2 4 11 0
"dh" 2 5 2 4 16 0
"dh" 4 6 1 8 67 0
"dh" 3 4 2 4 17 0
"dh" 4 6 5 9 61 0
"dh" 1 7 3 9 60 0
"dh" 2 3 5 1 26 0
"dh" 1 5 5 9 31 0
"dh" 3 4 1 6 39 0
"dh" 3 2 3 7 34 0
"dh" 2 6 2 4 33 0
"dh" 1 5 1 10 40 0
"dh" 2 2 2 6 42 0
"dh" 4 1 2 3 27 0
"dh" 2 5 3 9 33 0
"dh" 2 2 4 1 17 0
"dh" 1 7 2 2 36 0
"dh" 2 1 5 4 11 0
"dh" 3 7 3 6 75 0
"dh" 4 2 1 9 48 0
"dh" 4 7 5 3 28 0
"dh" 4 7 5 4 32 0
"dh" 3 6 5 2 25 0
"dh" 3 7 4 3 31 0
"dh" 3 2 5 1 16 0
"dh" 3 2 1 4 23 0
"dh" 1 5 3 9 32 0
"dh" 4 1 3 7 48 0
"dh" 2 5 3 7 31 0
"dh" 4 3 4 6 63 0
"dh" 1 2 1 5 34 0
"dh" 1 5 4 1 23 0
"dh" 1 6 3 1 26 0
"dh" 1 6 4 9 64 0
"dh" 4 6 3 7 72 0
"dh" 3 7 5 5 54 0
"dh" 4 4 1 7 36 0
"dh" 1 4 5 7 49 0
"dh" 4 4 5 9 48 0
"dh" 4 2 3 9 36 0
"dh" 3 2 2 7 37 0
"dh" 3 2 1 3 17 0
"dh" 3 6 1 7 64 0
"dh" 3 5 2 6 41 1
"dh" 2 2 2 9 40 0
"dh" 1 3 3 4 31 0
"dh" 4 7 5 2 21 0
"dh" 1 1 5 7 41 0
"dh" 3 3 2 5 63 0
"dh" 2 7 5 5 52 0
"dh" 4 5 2 2 15 0
"dh" 1 1 3 2 18 0
"dh" 3 6 1 3 24 0
"dh" 2 6 2 7 75 1
"dh" 2 7 4 6 65 0
"dh" 4 2 5 3 16 0
"dh" 1 2 5 3 20 1
"dh" 3 6 1 8 73 0
"dh" 2 6 4 6 59 0
"dh" 3 4 1 1 16 0
"dh" 2 1 4 2 18 0
"dh" 2 6 3 4 38 0
"dh" 1 4 4 2 19 0
"dh" 1 5 3 4 20 0
"dh" 4 7 1 5 54 1
"dh" 3 7 4 2 34 0
"dh" 2 6 4 2 28 0
"dh" 4 7 4 6 67 0
"dh" 3 7 4 5 66 0
"dh" 3 2 5 4 17 0
"dh" 4 1 3 8 35 1
"dh" 2 2 4 2 20 1
"dh" 2 5 5 2 19 0
"dh" 1 5 1 6 36 0
"dh" 1 3 3 6 65 0
"dh" 1 6 3 5 60 0
"dh" 3 6 3 7 61 0
"dh" 2 2 2 1 19 0
"dh" 4 3 5 4 39 0
"dh" 1 6 3 8 64 0
"dh" 2 7 3 1 31 0
"dh" 2 6 5 4 35 0
"dh" 2 1 4 10 27 0
"dh" 2 7 1 7 62 0
"dh" 2 7 3 2 38 0
"dh" 3 6 1 5 78 0
"dh" 4 6 4 8 59 0
"dh" 1 5 5 5 34 0
"dh" 4 1 5 8 34 0
"dh" 1 6 2 2 25 0
"dh" 2 7 1 3 32 0
"dh" 4 5 5 10 43 0
"dh" 1 1 3 6 37 0
"dh" 4 7 5 7 62 0
"dh" 1 5 5 4 16 0
"dh" 3 4 1 3 25 1
"dh" 3 3 4 4 19 0
"dh" 4 7 3 9 68 0
"dh" 4 4 2 9 26 0
"dh" 2 4 5 9 31 0
"dv" 1 7 2 5 75 0
"dv" 2 2 1 9 36 0
"dv" 2 2 4 8 33 0
"dv" 1 4 2 6 38 0
"dv" 2 2 3 4 14 0
"dv" 1 7 4 4 27 0
"dv" 2 4 2 8 37 0
"dv" 2 1 3 5 46 0
"dv" 1 4 2 5 43 0
"dv" 1 2 2 1 14 0
"dv" 1 2 4 3 19 0
"dv" 1 6 4 4 26 0
"dv" 1 4 1 4 12 0
"dv" 1 2 5 10 29 0
"dv" 1 2 4 4 13 0
"dv" 3 5 3 2 22 0
"dv" 2 3 4 1 31 0
"dv" 1 2 3 8 43 0
"dv" 3 1 4 8 31 0
"dv" 2 2 5 6 46 0
"dv" 1 3 3 2 35 0
"dv" 4 1 1 2 24 0
"dv" 1 1 5 4 20 0
"dv" 1 7 5 2 22 0
"dv" 2 5 4 4 20 0
"dv" 3 4 5 4 13 0
"dv" 1 3 2 3 36 0
"dv" 3 1 1 7 32 0
"dv" 2 2 4 10 36 0
"dv" 1 1 2 1 22 0
"dv" 1 2 5 1 15 0
"dv" 1 5 4 10 27 0
"dv" 3 3 1 7 62 0
"dv" 2 1 3 7 37 0
"dv" 2 6 5 7 67 0
"dv" 4 1 1 3 20 0
"dv" 4 2 4 3 16 0
"dv" 1 7 2 3 34 0
"dv" 1 6 1 9 82 0
"dv" 4 1 2 9 25 0
"dv" 4 2 3 4 11 0
"dv" 2 1 1 7 41 0
"dv" 2 6 5 1 34 0
"dv" 4 2 3 7 45 0
"dv" 2 3 5 5 59 0
"dv" 4 2 5 2 18 0
"dv" 1 1 3 7 46 0
"dv" 2 4 4 9 44 0
"dv" 3 1 1 4 12 0
"dv" 1 7 4 9 64 0
"dv" 2 6 5 9 50 0
"dv" 3 5 2 9 37 0
"dv" 1 4 1 2 23 0
"dv" 2 2 3 3 20 0
"dv" 3 4 2 9 41 0
"dv" 3 2 4 9 35 0
"dv" 3 2 3 8 39 0
"dv" 1 7 5 7 70 0
"dv" 3 3 1 5 55 0
"dv" 2 6 1 4 28 0
"dv" 4 3 2 10 53 0
"dv" 2 6 1 7 84 0
"dv" 3 2 2 8 40 0
"dv" 4 1 2 7 33 0
"dv" 4 3 3 4 39 0
"dv" 2 4 3 9 32 0
"dv" 2 1 5 6 46 0
"dv" 3 2 5 10 34 0
"dv" 2 7 3 10 58 0
"dv" 3 3 1 2 41 0
"dv" 4 3 2 7 60 1
"dv" 4 2 5 1 16 0
"dv" 1 2 4 10 25 0
"dv" 4 3 4 3 40 0
"dv" 4 1 5 1 16 0
"dv" 4 2 1 5 34 0
"dv" 4 3 3 3 30 0
"dv" 2 3 1 10 70 0
"dv" 3 3 3 4 34 0
"dv" 4 1 2 8 42 0
"dv" 4 3 4 10 64 0
"dv" 2 2 3 5 45 0
"dv" 4 3 5 2 33 0
"dv" 4 3 3 10 60 0
"dv" 2 3 2 6 60 0
"dv" 3 1 1 10 34 0
"dv" 3 1 2 1 22 0
"dv" 1 3 4 4 28 0
"dv" 4 2 2 8 32 0
"dv" 4 1 2 5 33 0
"dv" 1 2 2 10 34 0
"dv" 2 1 1 2 16 0
"dv" 4 3 2 2 36 0
"dv" 2 3 3 5 53 0
"dv" 1 3 2 2 24 0
"dv" 2 3 3 7 56 0
"dv" 2 2 3 6 46 0
"dv" 3 1 3 2 24 0
"dv" 2 1 1 9 40 0
"dv" 2 5 2 3 14 0
"dv" 3 1 3 5 42 0
"dv" 3 3 5 8 59 0
"dv" 4 4 2 2 20 0
"dv" 2 3 4 5 54 0
"dv" 2 3 4 6 64 0
"dv" 2 2 5 7 33 0
"dv" 3 2 3 2 24 0
"dv" 1 7 3 8 65 0
"dv" 1 2 4 8 51 0
"dv" 4 4 1 6 31 0
"dv" 3 1 4 6 33 0
"dv" 1 6 1 1 28 0
"dv" 4 2 1 1 15 0
"dv" 4 4 3 3 22 0
"dv" 1 4 3 5 45 0
"dv" 2 2 2 7 35 0
"dv" 4 4 3 6 45 0
"dv" 3 1 5 2 29 1
"dv" 2 1 3 9 36 0
"dv" 1 1 2 6 37 0
"dv" 1 3 4 8 59 0
"dv" 4 1 2 10 31 0
"dv" 2 1 4 3 20 0
"dv" 3 1 5 8 34 0
"dv" 3 1 5 9 36 0
"dv" 2 4 1 8 41 0
"dv" 4 4 4 6 42 0
"dv" 3 6 5 7 68 0
"dv" 4 4 4 8 36 0
"dv" 2 3 3 3 27 0
"dv" 3 3 4 6 78 0
"dv" 2 1 5 2 26 0
"dv" 1 5 4 2 14 0
"dv" 1 1 3 10 36 0
"dv" 2 4 2 6 35 0
"dv" 3 4 4 1 16 0
"dv" 1 4 1 5 33 0
"dv" 2 4 2 9 34 0
"dv" 2 4 2 10 32 0
"dv" 4 4 1 9 23 0
"dv" 2 4 3 2 27 0
"dv" 1 4 1 10 32 0
"dv" 1 4 2 1 12 0
"dv" 2 4 3 5 41 0
"dv" 3 4 4 10 31 0
"dv" 1 4 2 3 19 0
"dv" 3 3 2 2 31 0
"dv" 3 4 5 3 23 0
"dv" 3 6 3 6 72 0
"dv" 1 4 2 8 48 0
"dv" 3 4 5 6 41 0
"dv" 2 2 2 2 15 0
"dv" 3 4 5 8 32 0
"dv" 3 4 5 9 56 0
"dv" 4 2 1 3 16 0
"dv" 2 1 3 6 41 0
"dv" 2 4 4 8 38 0
"dv" 2 2 2 8 47 0
"dv" 1 6 5 9 65 0
"dv" 2 7 2 3 40 0
"dv" 4 2 5 9 33 0
"dv" 1 4 3 9 44 0
"dv" 3 2 4 8 33 0
"dv" 4 3 1 2 39 0
"dv" 4 3 1 3 34 0
"dv" 4 3 1 4 27 0
"dv" 3 7 4 4 28 0
"dv" 2 3 2 9 69 0
"dv" 2 7 3 3 23 0
"dv" 1 1 3 8 41 0
"dv" 3 2 1 5 46 0
"dv" 1 4 4 9 36 0
"dv" 4 5 4 2 18 0
"dv" 4 5 4 3 24 0
"dv" 3 5 2 10 44 0
"dv" 1 4 5 3 26 0
"dv" 4 5 4 6 32 0
"dv" 3 5 3 3 20 0
"dv" 1 4 5 6 51 0
"dv" 4 3 2 8 77 0
"dv" 4 3 2 9 65 0
"dv" 3 5 3 7 39 0
"dv" 4 3 3 1 36 0
"dv" 1 5 1 1 22 0
"dv" 1 5 1 2 32 1
"dv" 1 5 1 3 17 0
"dv" 2 4 3 8 48 0
"dv" 2 5 2 9 39 0
"dv" 4 2 4 7 37 0
"dv" 4 1 1 7 41 0
"dv" 3 3 2 6 63 0
"dv" 1 5 1 9 31 0
"dv" 1 5 2 1 22 0
"dv" 3 5 4 9 51 0
"dv" 4 6 1 4 36 0
"dv" 2 4 4 7 47 0
"dv" 4 6 1 6 54 1
"dv" 3 5 5 3 22 0
"dv" 3 3 3 3 29 0
"dv" 2 5 4 1 25 0
"dv" 1 2 5 7 37 0
"dv" 3 5 5 7 33 0
"dv" 4 6 2 2 33 0
"dv" 1 5 3 1 17 0
"dv" 4 6 2 4 40 0
"dv" 4 6 2 5 64 0
"dv" 2 5 4 8 35 0
"dv" 2 3 2 8 71 0
"dv" 4 6 2 8 66 0
"dv" 3 4 3 5 38 0
"dv" 1 7 1 10 62 2
"dv" 2 5 5 3 28 0
"dv" 3 3 4 7 61 0
"dv" 4 1 4 1 23 0
"dv" 4 6 3 4 26 0
"dv" 4 6 3 5 59 0
"dv" 1 5 4 4 27 0
"dv" 1 5 4 5 39 0
"dv" 1 5 4 6 47 0
"dv" 3 6 2 5 69 0
"dv" 3 6 2 6 90 0
"dv" 1 5 4 9 40 0
"dv" 3 6 2 8 71 0
"dv" 1 5 5 1 16 0
"dv" 2 6 1 6 51 0
"dv" 3 6 3 1 28 0
"dv" 4 5 5 6 20 0
"dv" 4 1 5 5 36 0
"dv" 2 2 5 9 36 0
"dv" 3 6 3 5 47 0
"dv" 4 6 4 10 82 0
"dv" 4 1 5 9 46 0
"dv" 4 1 5 10 31 0
"dv" 4 6 5 3 45 0
"dv" 2 6 2 6 56 0
"dv" 3 3 2 10 57 0
"dv" 1 6 1 4 24 0
"dv" 2 6 2 9 65 0
"dv" 1 3 4 5 56 0
"dv" 1 3 4 6 61 0
"dv" 1 3 4 7 56 0
"dv" 2 6 3 3 32 0
"dv" 1 3 4 9 64 0
"dv" 1 3 4 10 90 0
"dv" 4 4 4 3 19 0
"dv" 4 4 4 4 24 0
"dv" 4 7 1 6 74 0
"dv" 1 6 2 5 52 0
"dv" 2 1 4 8 35 0
"dv" 4 7 1 9 51 0
"dv" 4 7 1 10 57 0
"dv" 4 7 2 1 29 0
"dv" 1 3 5 9 72 0
"dv" 2 4 2 4 17 0
"dv" 4 7 2 4 31 0
"dv" 2 6 4 7 52 0
"dv" 1 6 3 4 27 0
"dv" 4 4 5 6 33 0
"dv" 2 6 4 10 70 1
"dv" 4 7 2 9 44 0
"dv" 3 2 2 4 19 0
"dv" 2 6 5 3 37 0
"dv" 4 5 1 1 13 0
"dv" 4 5 1 2 12 0
"dv" 1 6 4 2 24 0
"dv" 4 7 3 5 60 0
"dv" 2 6 5 8 66 0
"dv" 4 7 3 7 54 0
"dv" 2 6 5 10 68 0
"dv" 4 5 1 8 38 0
"dv" 2 2 1 10 34 0
"dv" 3 7 2 7 64 0
"dv" 1 6 4 10 63 0
"dv" 2 7 1 5 65 0
"dv" 3 7 2 10 58 0
"dv" 2 3 5 6 71 1
"dv" 3 7 3 2 30 0
"dv" 2 7 1 9 71 0
"dv" 4 5 2 7 37 0
"dv" 4 7 4 9 71 0
"dv" 3 2 4 4 17 0
"dv" 3 7 3 7 73 0
"dv" 3 7 3 8 53 0
"dv" 4 3 1 1 42 0
"dv" 4 5 3 3 25 0
"dv" 3 7 4 1 39 0
"dv" 3 5 2 1 17 0
"dv" 4 5 3 6 41 0
"dv" 4 7 5 8 59 0
"dv" 3 2 5 3 11 0
"dv" 3 7 4 7 64 0
"jc" 2 5 4 9 42 0
"jc" 1 6 2 7 56 0
"jc" 1 2 5 2 21 0
"jc" 3 3 5 5 60 0
"jc" 2 1 5 10 39 0
"jc" 2 7 5 7 70 0
"jc" 3 3 4 3 27 0
"jc" 1 5 2 2 14 0
"jc" 1 1 5 10 41 0
"jc" 3 6 3 9 62 0
"jc" 4 4 4 5 35 0
"jc" 3 5 5 1 16 0
"jc" 1 3 3 8 61 0
"jc" 3 3 5 4 35 0
"jc" 1 5 2 10 26 0
"jc" 2 2 4 9 41 0
"jc" 3 6 1 4 25 0
"jc" 4 4 2 7 35 0
"jc" 2 7 4 1 21 0
"jc" 1 5 5 3 18 0
"jc" 1 1 1 4 19 0
"jc" 1 7 1 2 28 0
"jc" 3 6 2 3 25 0
"jc" 1 1 4 2 21 0
"jc" 1 1 5 9 44 0
"jc" 2 4 4 5 44 0
"jc" 3 3 2 8 62 0
"jc" 1 2 4 7 36 1
"jc" 4 5 2 5 30 0
"jc" 3 7 2 1 38 0
"jc" 4 3 2 1 35 0
"jc" 3 6 1 10 62 0
"jc" 1 1 1 5 45 0
"jc" 1 5 5 7 38 0
"jc" 3 3 5 2 34 0
"jc" 1 5 1 8 26 0
"jc" 2 1 4 4 11 0
"jc" 2 7 2 8 72 0
"jc" 1 7 5 5 57 0
"jc" 2 6 3 10 72 0
"jc" 4 2 5 4 14 1
"jc" 4 6 1 5 61 0
"jc" 1 2 5 4 22 0
"jc" 1 1 1 2 11 0
"jc" 1 6 4 5 53 0
"jc" 2 5 5 5 41 0
"jc" 4 6 2 1 24 0
"jc" 3 1 5 7 34 0
"jc" 1 1 2 10 45 0
"jc" 4 4 5 5 35 0
"jc" 1 1 4 3 24 0
"jc" 1 1 4 4 26 0
"jc" 4 6 3 10 55 0
"jc" 1 3 5 5 66 0
"jc" 4 5 1 3 15 0
"jc" 4 7 3 4 29 0
"jc" 4 2 5 7 31 0
"jc" 4 3 5 9 70 0
"jc" 4 4 2 5 26 0
"jc" 2 2 4 5 44 0
"jc" 2 4 2 7 35 0
"jc" 2 7 3 9 61 0
"jc" 3 4 1 5 36 0
"jc" 2 6 2 2 25 0
"jc" 3 5 4 8 33 0
"jc" 1 3 3 9 63 1
"jc" 4 2 1 2 22 0
"jc" 2 5 3 6 44 0
"jc" 1 1 2 2 19 0
"jc" 3 3 1 9 74 0
"jc" 3 1 3 8 40 0
"jc" 3 5 1 4 23 0
"jc" 1 5 5 6 36 0
"jc" 4 4 2 6 31 0
"jc" 3 2 4 7 37 0
"jc" 3 6 4 9 62 0
"jc" 4 4 4 2 21 0
"jc" 1 3 5 1 28 0
"jc" 1 1 3 1 27 1
"jc" 4 3 5 5 47 0
"jc" 4 7 1 7 36 0
"jc" 2 6 4 1 30 0
"jc" 1 4 3 3 15 0
"jc" 1 1 2 3 16 0
"jc" 3 4 3 7 35 0
"jc" 1 3 5 10 57 1
"jc" 4 2 1 7 42 0
"jc" 1 2 3 2 22 0
"jc" 3 3 5 1 26 0
"jc" 2 2 4 6 39 0
"jc" 3 3 1 1 28 1
"jc" 4 5 4 7 33 0
"jc" 2 5 1 10 32 0
"jc" 3 7 1 7 63 0
"jc" 2 5 2 5 38 0
"jc" 1 4 5 10 40 0
"jc" 4 6 3 2 32 0
"jc" 2 2 1 4 19 0
"jc" 4 2 4 4 25 0
"jc" 4 6 3 3 29 0
"jc" 4 2 4 5 37 0
"jc" 2 5 3 1 20 0
"jc" 1 1 5 5 43 0
"jc" 1 4 2 7 32 0
"jc" 2 5 3 2 14 0
"jc" 4 7 3 10 61 0
"jc" 3 7 2 9 57 0
"jc" 4 7 4 4 27 0
"jc" 1 2 1 2 17 0
"jc" 2 4 3 3 18 0
"jc" 3 6 3 10 64 0
"jc" 1 2 1 4 24 0
"jc" 4 3 3 6 59 0
"jc" 2 7 2 1 41 0
"jc" 1 7 5 1 34 0
"jc" 3 5 1 8 44 0
"jc" 3 4 2 7 31 0
"jc" 1 5 3 2 17 0
"jc" 1 3 1 2 22 0
"jc" 2 6 3 8 56 1
"jc" 3 1 1 9 39 0
"jc" 3 2 1 1 13 0
"jc" 1 3 4 2 28 0
"jc" 2 5 1 3 20 0
"jc" 4 5 3 10 38 0
"jc" 1 2 2 8 34 0
"jc" 2 2 4 4 17 0
"jc" 3 2 5 8 36 0
"jc" 2 6 4 8 64 0
"jc" 3 1 2 8 28 0
"jc" 4 1 4 2 16 0
"jc" 3 7 1 3 31 0
"jc" 3 4 4 3 17 0
"jc" 1 7 2 9 76 1
"jc" 1 4 1 8 44 0
"jc" 2 6 1 5 64 0
"jc" 4 4 2 1 15 0
"jc" 2 5 2 6 30 0
"jc" 3 5 3 10 38 0
"jc" 3 2 2 9 33 0
"jc" 2 7 4 9 78 0
"jc" 3 1 4 2 19 0
"jc" 2 7 5 2 41 0
"jc" 1 2 4 6 36 0
"jc" 3 5 4 5 41 0
"jc" 4 1 1 9 45 0
"jc" 2 3 1 4 32 0
"jc" 2 7 5 6 47 0
"jc" 4 1 2 1 21 0
"jc" 3 7 3 1 28 0
"jc" 3 3 2 7 60 0
"jc" 1 7 4 6 67 0
"jc" 3 1 5 3 19 0
"jc" 3 5 5 5 45 0
"jc" 2 6 2 10 75 0
"jc" 1 5 2 8 40 0
"jc" 1 4 1 1 22 0
"jc" 4 4 4 1 18 0
"jc" 3 6 4 10 69 0
"jc" 4 1 3 2 26 0
"jc" 4 2 2 3 16 0
"jc" 1 7 1 6 67 0
"jc" 3 4 3 3 16 0
"jc" 1 5 3 8 51 0
"jc" 3 1 2 3 20 0
"jc" 3 6 1 6 66 1
"jc" 3 2 1 6 38 0
"jc" 3 1 2 5 38 0
"jc" 3 2 5 9 25 0
"jc" 2 6 1 10 57 0
"jc" 3 5 3 1 20 0
"jc" 3 7 5 3 36 0
"jc" 4 5 4 5 34 0
"jc" 1 5 4 7 33 0
"jc" 2 6 1 1 40 0
"jc" 2 4 3 4 32 0
"jc" 3 2 2 6 32 0
"jc" 2 1 2 1 17 0
"jc" 3 3 5 9 69 0
"jc" 4 6 4 5 67 0
"jc" 2 1 2 7 36 0
"jc" 3 1 3 10 28 0
"jc" 4 5 2 10 34 0
"jc" 4 1 5 6 38 0
"jc" 3 6 3 4 32 0
"jc" 2 4 4 2 20 0
"jc" 1 1 1 7 37 0
"jc" 2 3 5 4 29 0
"jc" 1 1 1 9 33 0
"jc" 4 3 4 2 21 0
"jc" 1 3 5 8 59 0
"jc" 2 3 5 8 63 0
"jc" 1 6 5 7 62 0
"jc" 1 1 2 4 19 0
"jc" 3 7 3 4 38 0
"jc" 1 6 3 3 31 0
"jc" 2 7 3 7 63 0
"jc" 2 5 4 2 15 0
"jc" 3 3 3 8 53 0
"jc" 4 2 2 2 18 0
"jc" 1 3 1 1 33 0
"jc" 3 3 3 7 49 0
"jc" 2 7 2 9 59 0
"jc" 3 5 3 6 41 0
"jc" 3 6 5 5 74 0
"jc" 2 4 2 2 15 0
"jc" 3 5 2 7 38 0
"jc" 1 6 3 2 36 1
"jc" 3 7 2 3 34 0
"jc" 1 4 2 4 20 0
"jc" 3 3 4 9 65 0
"jc" 3 2 1 7 46 0
"jc" 2 2 5 10 48 0
"jc" 3 7 1 4 23 0
"jc" 4 2 3 8 51 0
"jc" 4 7 3 1 36 0
"jc" 4 4 3 2 21 0
"jc" 4 7 3 2 23 0
"jc" 1 7 1 9 55 0
"jc" 1 4 2 2 22 0
"jc" 4 5 1 4 19 0
"jc" 1 7 4 7 65 0
"jc" 3 7 4 9 58 0
"jc" 3 3 2 3 24 0
"jc" 4 1 5 4 13 0
"jc" 3 7 5 7 56 0
"jc" 4 1 1 8 38 0
"jc" 4 2 4 10 37 0
"jc" 2 3 1 3 40 0
"jc" 4 2 5 6 35 0
"jc" 3 5 2 3 17 0
"jc" 4 5 4 8 29 0
"jc" 1 6 5 6 51 0
"jc" 4 4 4 10 44 0
"jc" 3 2 5 6 53 0
"jc" 3 5 4 1 26 0
"jc" 3 6 5 10 63 0
"jc" 1 2 3 6 36 0
"jc" 4 7 2 7 57 0
"jc" 2 5 4 6 37 0
"jc" 1 7 5 3 34 0
"jc" 4 5 3 9 37 0
"jc" 2 5 5 1 15 0
"jc" 4 7 2 10 63 1
"jc" 3 3 1 3 46 0
"jc" 3 5 4 4 21 0
"jc" 3 6 3 2 24 0
"jc" 1 5 1 4 20 0
"jc" 3 4 3 6 35 0
"jc" 4 3 3 7 64 0
"jc" 1 5 3 7 40 0
"jc" 4 4 3 5 29 0
"jc" 4 1 1 6 47 0
"jc" 4 4 3 8 37 0
"jc" 2 6 4 4 40 0
"jc" 4 5 4 1 14 0
"jc" 2 6 5 2 36 0
"jc" 4 3 1 7 72 0
"jc" 4 1 3 6 37 0
"jc" 2 1 2 6 44 0
"jc" 1 2 5 6 42 0
"jc" 3 7 4 6 64 0
"jc" 1 3 1 6 58 1
"jc" 3 5 2 4 5 0
"none" 1 1 1 1 14 0
"none" 2 6 1 8 58 0
"none" 2 3 4 8 49 1
"none" 4 5 1 7 33 0
"none" 3 4 1 4 22 0
"none" 2 1 2 10 40 0
"none" 2 1 3 1 20 0
"none" 1 1 1 8 37 0
"none" 2 1 3 3 17 0
